Origen,Destino,Distancia (km),Tiempo (min)
Acacoyagua,Acala,347.12,285.19
Acacoyagua,Acapetahua,33.38,57.94
Acacoyagua,Aldama,388.6,335.0
Acacoyagua,Altamirano,350.58,424.96
Acacoyagua,Amatán,480.53,426.29
Acacoyagua,Amatenango de la Frontera,146.01,151.08
Acacoyagua,Amatenango del Valle,301.38,293.27
Acacoyagua,Ángel Albino Corzo,250.12,327.74
Acacoyagua,Arriaga,171.96,138.3
Acacoyagua,Bejucal de Ocampo,144.43,170.25
Acacoyagua,Bella Vista,179.14,182.04
Acacoyagua,Benemérito de las Américas,450.77,452.3
Acacoyagua,Berriozábal,293.4,243.03
Acacoyagua,Bochil,375.33,303.02
Acacoyagua,El Bosque,397.16,331.14
Acacoyagua,Cacahoatán,125.66,129.32
Acacoyagua,Catazajá,606.46,487.36
Acacoyagua,Chalchihuitán,412.26,349.09
Acacoyagua,Chamula,370.42,302.57
Acacoyagua,Chanal,411.29,358.33
Acacoyagua,Chapultenango,425.98,379.94
Acacoyagua,Chenalhó,406.36,337.15
Acacoyagua,Chiapa de Corzo,320.52,256.73
Acacoyagua,Chiapilla,362.19,301.2
Acacoyagua,Chicoasén,338.64,282.71
Acacoyagua,Chicomuselo,215.37,232.06
Acacoyagua,Chilón,489.4,407.11
Acacoyagua,Cintalapa,249.45,221.21
Acacoyagua,Coapilla,364.78,315.72
Acacoyagua,Comitán de Domínguez,255.85,251.04
Acacoyagua,La Concordia,255.09,280.98
Acacoyagua,Copainalá,345.91,287.54
Acacoyagua,Emiliano Zapata,339.07,281.23
Acacoyagua,Escuintla,38.56,53.87
Acacoyagua,Francisco León,405.82,349.75
Acacoyagua,Frontera Comalapa,184.29,191.27
Acacoyagua,Frontera Hidalgo,125.94,124.05
Acacoyagua,La Grandeza,147.79,160.5
Acacoyagua,Huehuetán,74.07,78.56
Acacoyagua,Huixtán,384.66,306.91
Acacoyagua,Huitiupán,440.09,377.01
Acacoyagua,Huixtla,55.55,63.8
Acacoyagua,Ixhuatán,459.24,386.23
Acacoyagua,Ixtacomitán,470.79,401.6
Acacoyagua,Ixtapa,342.4,273.32
Acacoyagua,Ixtapangajoya,501.34,453.84
Acacoyagua,Jiquipilas,241.24,201.03
Acacoyagua,Jitotol,400.94,330.73
Acacoyagua,Juárez,454.86,380.14
Acacoyagua,Larráinzar,386.83,343.48
Acacoyagua,La Libertad,640.77,510.8
Acacoyagua,Mapastepec,34.35,46.01
Acacoyagua,Marqués de Comillas,437.35,452.35
Acacoyagua,Mazapa de Madero,126.22,141.09
Acacoyagua,Mazatán,96.66,98.97
Acacoyagua,Metapa,114.83,106.83
Acacoyagua,Mezcalapa,348.56,278.78
Acacoyagua,Mitontic,392.26,329.42
Acacoyagua,Montecristo de Guerrero,215.28,273.18
Acacoyagua,Motozintla,84.95,88.74
Acacoyagua,Nicolás Ruíz,383.69,318.72
Acacoyagua,Ocosingo,595.75,602.32
Acacoyagua,Ocotepec,388.56,351.44
Acacoyagua,Ocozocoautla de Espinosa,261.69,213.48
Acacoyagua,Ostuacán,400.29,319.96
Acacoyagua,Osumacinta,319.46,259.16
Acacoyagua,Oxchuc,410.76,333.73
Acacoyagua,Palenque,584.2,502.77
